batch_id,buy,cached_at,date,mid,sell,source,timestamp
,,,2026-07-10,NaT,,,
,,,2026-07-11,NaT,,,
,,,2026-07-12,NaT,,,
,,,2026-07-13,NaT,,,
,,,2026-07-14,NaT,,,
,,,2026-07-15,NaT,,,
,,,2026-07-16,NaT,,,
,,,2026-07-17,NaT,,,
,,,2026-07-18,NaT,,,
,,,2026-07-19,NaT,,,
,,,2026-07-20,NaT,,,
,,,2026-07-21,NaT,,,
20260722_183104,3.3801,,"Wed, 22 Ju",3.397,3.414,exchangerate_api,2026-07-22T18:31:06.548740+00:00
test_512,3.3841,,"Thu, 23 Ju",3.4011,3.4181,exchangerate_api,2026-07-23T05:38:02.237813+00:00
test_ripley_real,3.3841,2026-07-23T05:38:02.239816+00:00,"Thu, 23 Ju",3.4011,3.4181,exchangerate_api_cached,2026-07-23T05:38:02.237813+00:00
